Sep 2024	Sep 2023	Programming Language	Ratings	Change
1	1	-	Python	20.17%	+6.01%
2	3	^	C++	10.75%	+0.09%
3	4	^	Java 	9.45%	-0.04%
4	2	v	C	8.89%	-2.38%
5	5	-	C# 	6.08%	-1.22%
6	6	-	JavaScript	3.92%	+0.62%
7	7	-	Visual Basic	2.70%	+0.48%
8	12	^^	Go	2.35%	+1.16%
9	10	^	SQL	1.94%	+0.50%
10	11	^	Fortran	1.78%	+0.49%
11	15	^^	Delphi/Object Pascal	1.77%	+0.75%
12	13	^	MATLAB	1.47%	+0.28%
13	8	vv	PHP	1.46%	-0.09%
14	17	^	Rust	1.32%	+0.35%
15	18	^	R	1.20%	+0.23%
16	19	^	Ruby	1.13%	+0.18%
17	14	v	Scratch	1.11%	+0.03%
18	20	^	Kotlin	1.10%	+0.20%
19	21	^	COBOL	1.09%	+0.22%
20	16	vv	Swift	1.08%	+0.09%